------------------------------------------------------------------------------------
Date: 12/7/2023 -- 09:48:31 (uptime: 0d, 00h 00m 03s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 16296
decoder.bytes                                 | Total                     | 6591621
decoder.ipv4                                  | Total                     | 15406
decoder.ethernet                              | Total                     | 16296
decoder.arp                                   | Total                     | 890
decoder.tcp                                   | Total                     | 14455
tcp.syn                                       | Total                     | 484
tcp.synack                                    | Total                     | 471
tcp.rst                                       | Total                     | 380
decoder.udp                                   | Total                     | 928
decoder.icmpv4                                | Total                     | 2
decoder.avg_pkt_size                          | Total                     | 404
decoder.max_pkt_size                          | Total                     | 1514
flow.total                                    | Total                     | 915
flow.tcp                                      | Total                     | 489
flow.udp                                      | Total                     | 425
flow.icmpv4                                   | Total                     | 1
flow.wrk.spare_sync_avg                       | Total                     | 100
flow.wrk.spare_sync                           | Total                     | 11
decoder.event.ipv4.opt_pad_required           | Total                     | 21
flow.wrk.flows_evicted_needs_work             | Total                     | 359
flow.wrk.flows_evicted_pkt_inject             | Total                     | 408
flow.wrk.flows_evicted                        | Total                     | 81
flow.wrk.flows_injected                       | Total                     | 352
tcp.sessions                                  | Total                     | 471
tcp.ssn_from_cache                            | Total                     | 7
tcp.ssn_from_pool                             | Total                     | 464
tcp.segment_from_cache                        | Total                     | 6600
tcp.segment_from_pool                         | Total                     | 446
tcp.stream_depth_reached                      | Total                     | 1
tcp.overlap                                   | Total                     | 139
detect.alert                                  | Total                     | 226
detect.alerts_suppressed                      | Total                     | 93
app_layer.flow.http                           | Total                     | 17
app_layer.tx.http                             | Total                     | 18
app_layer.flow.tls                            | Total                     | 313
app_layer.error.tls.parser                    | Total                     | 3
app_layer.flow.smb                            | Total                     | 35
app_layer.tx.smb                              | Total                     | 482
app_layer.flow.dcerpc_tcp                     | Total                     | 46
app_layer.tx.dcerpc_tcp                       | Total                     | 197
app_layer.flow.ntp                            | Total                     | 17
app_layer.tx.ntp                              | Total                     | 17
app_layer.flow.krb5_tcp                       | Total                     | 22
app_layer.tx.krb5_tcp                         | Total                     | 44
app_layer.flow.dhcp                           | Total                     | 2
app_layer.tx.dhcp                             | Total                     | 4
app_layer.flow.failed_tcp                     | Total                     | 37
app_layer.flow.dns_udp                        | Total                     | 318
app_layer.tx.dns_udp                          | Total                     | 640
app_layer.flow.failed_udp                     | Total                     | 88
flow.end.state.new                            | Total                     | 76
flow.end.state.established                    | Total                     | 377
flow.end.state.closed                         | Total                     | 462
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 5
flow.end.tcp_state.fin_wait2                  | Total                     | 3
flow.end.tcp_state.last_ack                   | Total                     | 2
flow.end.tcp_state.closed                     | Total                     | 460
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 9600
flow.mgr.rows_maxlen                          | Total                     | 1
flow.mgr.flows_checked                        | Total                     | 1
flow.mgr.flows_notimeout                      | Total                     | 1
memcap_pressure                               | Total                     | 5
memcap_pressure_max                           | Total                     | 5
flow.recycler.recycled                        | Total                     | 482
flow.recycler.queue_avg                       | Total                     | 2
flow.recycler.queue_max                       | Total                     | 375
tcp.memuse                                    | Total                     | 2424832
tcp.reassembly_memuse                         | Total                     | 458752
flow.memuse                                   | Total                     | 7154304
